name,highway,id
Пушкинская улица,tertiary,4460620
Шотландская улица,primary,4460633
Прибалтийская площадь,tertiary,4460680
3-я Конная Лахта,secondary,4460683
набережная реки Смоленки,residential,4460706
Рижский проспект,tertiary,4460710
Кемеровская улица,unclassified,4460737
Григоровский проезд,tertiary,4460766
Политехническая улица,secondary,4460811
улица Маринеско,residential,4460828
Благодатная улица,secondary,4460837
улица Чапыгина,residential,4460869
улица Ленина,residential,4460877
Евпаторийский переулок,unclassified,4460909
улица Карпинского,tertiary,4460973
Синопская набережная,secondary,4460990
Вокзальная улица,tertiary,4461113
Российский путепровод,primary,4461154
Владимирская площадь,primary_link,4461214
проспект Обуховской Обороны,secondary,4461220
улица Красного Текстильщика,residential,4461232
Боцманская улица,residential,4461243
проспект Обуховской Обороны,secondary,4461262
улица Зодчего Росси,tertiary,4461342
Климов переулок,residential,4461345
Новосмоленская набережная,tertiary,4461363
набережная Обводного канала,tertiary,4461578
Театральная площадь,residential,4461764
Вокзальное шоссе,unclassified,4461798
набережная Обводного канала,secondary,4461803
Ушаковская набережная,primary,4461807
Салтыковская дорога,tertiary,4461935
Байкальская улица,residential,4461936
улица Хлопина,residential,4461938
Гимназический переулок,unclassified,4461963
улица Карпинского,residential,4461964
улица Первого Мая,tertiary,4461992
проспект Маршала Блюхера,residential,4462005
Биржевой проезд,residential,4462023
Автогенная улица,unclassified,4462030
улица Ванеева,tertiary,4462031
проспект Солидарности,tertiary,4462037
Провиантская улица,residential,4462048
Троллейбусный проезд,residential,4462075
Владимирская площадь,primary,4462098
проспект Просвещения,secondary,4462110
Дойников переулок,residential,4462112
улица Союза Печатников,residential,4462160
Бугский переулок,residential,4462163
улица Академика Павлова,tertiary,4462197
проспект Тореза,primary,4462225
Главная улица,residential,4462263
Шведский переулок,residential,4462276
проспект Маршала Блюхера,unclassified,4462305
улица Потапова,tertiary,4462333
Якобштадтский переулок,residential,4462391
Бухарестская улица,secondary,4462448
улица Турку,tertiary,4462468
Геслеровский мост,tertiary,4462472
переулок Антоненко,residential,4462595
Шуваловский проспект,secondary,4462640
Магнитогорская улица,unclassified,4462646
улица Веденеева,residential,4484482
Кронштадтская улица,tertiary,4586320
улица Братьев Горкушенко,tertiary,4586837
1-я линия,residential,4586840
Сашинская дорога,tertiary,4587037
Малый проспект П.С.,secondary,4589634
Ижорская улица,residential,4590716
Мончегорская улица,residential,4590718
Красносельская улица,residential,4590719
Стрельнинская улица,residential,4590722
Флотская улица,residential,4590749
мост Красного Курсанта,tertiary,5133174
улица Воскова,tertiary_link,5152373
улица Сургина,residential,5892753
Уфимская улица,residential,7698296
Барочный мост,residential,7700411
улица Труда,secondary,8036531
6-й Верхний переулок,tertiary,8100967
улица Вавиловых,tertiary,8112444
Лужская улица,unclassified,8118024
улица Красного Курсанта,residential,8145675
Прибалтийская площадь,tertiary,8145744
Кронверкская набережная,secondary,8145998
Севастопольская улица,residential,8146072
набережная канала Грибоедова,residential,8146226
Андреевская улица,tertiary,8146243
Счастливая улица,residential,8146332
Гапсальская улица,tertiary,8146349
Шафировский проспект,primary,8146411
Морская набережная,tertiary,8146456
Белоостровская улица,secondary,8146473
