name:ru,name:en,addr:country,addr:region,addr:district,name,wikipedia,longitude,latitude,id
Преградная,Pregradnaya,RU,,Урупский район,Преградная,ru:Преградная (станица),41.1917906,43.9528755,304718066
Лабинск,Labinsk,RU,Краснодарский край,Лабинский район,Лабинск,ru:Лабинск,40.7242185,44.6347953,304718444
Мостовской,Mostovskoy,RU,Краснодарский край,Мостовский район,Мостовской,ru:Мостовской,40.7899446,44.4138041,304718565
Валуйки,Valuyki,RU,Белгородская область,Валуйский городской округ,Валуйки,ru:Валуйки,38.100227,50.211296,304721209
Менделеево,Mendeleyevo,RU,Московская область,городской округ Солнечногорск,Менделеево,ru:Менделеево (Московская область),37.2333009,56.036856,306174317
Краснотурьинск,Krasnoturinsk,RU,Свердловская область,городской округ Краснотурьинск,Краснотурьинск,ru:Краснотурьинск,60.1936117,59.764631,306457009
Карпинск,Karpinsk,RU,Свердловская область,городской округ Карпинск,Карпинск,ru:Карпинск,60.0009267,59.7667893,306457427
Волчанск,Volchansk,RU,Свердловская область,Волчанский городской округ,Волчанск,ru:Волчанск (Свердловская область),60.0779677,59.9347177,306458157
Серебряные Пруды,Serebryanye Prudy,RU,Московская область,,Серебряные Пруды,ru:Серебряные Пруды,38.722333,54.4678385,306545784
Игрим,Igrim,,,Берёзовский район,Игрим,ru:Игрим,64.424301,63.191513,307058961
Приобье,Priobye,,,Октябрьский район,Приобье,ru:Приобье,65.6479261,62.544431,307067079
Урай,Uray,,,,Урай,ru:Урай,64.803627,60.12912,307089440
Пангоды,,RU,Ямало-Ненецкий автономный округ,муниципальный округ Надымский район,Пангоды,ru:Пангоды,74.494797,65.856575,307395771
Углеуральский,Ugleural'skiy,RU,Пермский край,,Углеуральский,ru:Углеуральский,57.587696,58.941525,307964759
Гремячинск,Gremyachinsk,RU,Пермский край,,Гремячинск,ru:Гремячинск,57.833389,58.566597,307965249
Лысьва,Lysva,RU,Пермский край,Лысьвенский городской округ,Лысьва,ru:Лысьва,57.8028461,58.105056,308220097
Шигоны,Shigony,RU,Самарская область,Шигонский район,Шигоны,ru:Шигоны,48.67807,53.3864032,308259963
Тужа,,RU,Кировская область,Тужинский район,Тужа,ru:Тужа,47.9373723,57.6053835,308664931
Вятские Поляны,Vyatskiye Polyany,RU,Кировская область,городской округ Вятские Поляны,Вятские Поляны,ru:Вятские Поляны,51.0749038,56.2229946,308800172
Жигулёвск,Zhigulyevsk,RU,Самарская область,городской округ Жигулёвск,Жигулёвск,ru:Жигулёвск,49.4955657,53.4005122,308801345
Домбаровский,Dombarovskiy,RU,Оренбургская область,Домбаровский район,Домбаровский,ru:Домбаровский,59.536777,50.760067,308877563
Светлый,Svetly,RU,Оренбургская область,Светлинский район,Светлый,ru:Светлый (Светлинский район),60.850288,50.820313,308879014
Отрадный,Otradny,RU,Самарская область,,Отрадный,ru:Отрадный,51.348053,53.376175,308897102
Грибановский,,RU,Воронежская область,Грибановский район,Грибановский,ru:Грибановский (посёлок городского типа),41.960777,51.450348,309065171
Михайлов,Mikhaylov,RU,Рязанская область,Михайловский район,Михайлов,ru:Михайлов (город),39.027538,54.230217,309353206
Кемь,Kem,RU,,Кемский район,Кемь,ru:Кемь (город),34.5697446,64.9550895,309493556
Пряжа,Pryazha,RU,,Пряжинский район,Пряжа,ru:Пряжа (посёлок городского типа),33.6224108,61.6932537,309773771
Питкяранта,Pitkyaranta,RU,,Питкярантский район,Питкяранта,ru:Питкяранта,31.4744211,61.5717807,309965794
Моздок,Mozdok,RU,,Моздокский район,Моздок,ru:Моздок,44.653614,43.735584,310022311
Кромы,Kromy,RU,Орловская область,Кромской район,Кромы,ru:Кромы,35.768337,52.688126,310173070
Тугулым,,RU,Свердловская область,Тугулымский городской округ,Тугулым,ru:Тугулым (рабочий посёлок),64.640633,57.058983,310352142
Талица,Talitsa,RU,Свердловская область,Талицкий городской округ,Талица,ru:Талица (город),63.730244,57.014816,310353722
Пышма,Pyshma,RU,Свердловская область,Пышминский городской округ,Пышма,ru:Пышма (Свердловская область),63.246532,56.950695,310353809
Камышлов,Kamyshlov,RU,Свердловская область,Камышловский городской округ,Камышлов,ru:Камышлов,62.712154,56.846161,310353926
Богданович,Bogdanovich,RU,Свердловская область,городской округ Богданович,Богданович,ru:Богданович (город),62.0520774,56.7683407,310354163
Белоярский,Beloyarsky,RU,Свердловская область,Белоярский городской округ,Белоярский,ru:Белоярский (Свердловская область),61.414257,56.761642,310354793
Новая Усмань,Novaya Usman,RU,Воронежская область,Новоусманский район,Новая Усмань,ru:Новая Усмань,39.4107009,51.6439692,310586971
Мортка,Mortka,,,Кондинский район,Мортка,ru:Мортка,66.022072,59.33028,310831029
Ирбит,Irbit,RU,Свердловская область,,Ирбит,ru:Ирбит,63.063778,57.674042,310877933
Городищи,,RU,Владимирская область,,Городищи,ru:Городищи (Петушинский район),39.0804943,55.8653058,310903862
Кириши,Kirishi,RU,Ленинградская область,Киришский район,Кириши,ru:Кириши,32.010578,59.450325,310912076
Упорово,,RU,Тюменская область,Упоровский район,Упорово,ru:Упорово,66.267189,56.312378,310963315
Аромашево,,RU,Тюменская область,Аромашевский район,Аромашево,ru:Аромашево,68.6473468,56.865017,310969957
Щёлкино,Shchyolkino,,,,Щёлкино,uk:Щолкіне,35.8222792,45.4291446,311423386
Ленино,Lenino,,,,Ленино,uk:Леніне (Ленінський район),35.7758985,45.297284,311425368
Багерово,Bagerovo,,,,Багерово,ru:Багерово,36.292,45.376,311427965
Подпорожье,Podporozhye,RU,Ленинградская область,Подпорожский район,Подпорожье,ru:Подпорожье,34.162354,60.914291,312404669
Купино,Kupino,RU,Новосибирская область,Купинский район,Купино,ru:Купино (Новосибирская область),77.30854,54.364929,312701724
Красный,Krasny,RU,Смоленская область,,Красный,ru:Красный (Смоленская область),31.439449,54.569439,312992742
Инза,Inza,RU,Ульяновская область,Инзенский район,Инза,ru:Инза,46.3573236,53.8579402,313570754
Кушва,Kushva,RU,Свердловская область,Кушвинский городской округ,Кушва,ru:Кушва,59.762329,58.281757,313659859
Собинка,Sobinka,RU,Владимирская область,Собинский район,Собинка,ru:Собинка,40.0150802,55.9903976,314413011
Гусь-Хрустальный,Gus-Khrustalny,RU,Владимирская область,,Гусь-Хрустальный,ru:Гусь-Хрустальный,40.6708665,55.6149968,314794893
Орда,Orda,RU,Пермский край,Ординский муниципальный округ,Орда,ru:Орда (село),56.905411,57.195717,315635178
Уинское,Uinskoye,RU,Пермский край,Уинский муниципальный округ,Уинское,ru:Уинское,56.5755418,56.8836279,315635287
Мокшан,Mokshan,RU,Пензенская область,Мокшанский район,Мокшан,ru:Мокшан,44.6059867,53.439527,316080804
Рузаевка,Ruzayevka,RU,Мордовия,Рузаевский район,Рузаевка,ru:Рузаевка,44.954391,54.058735,316226231
Ялга,Yalga,RU,Мордовия,городской округ Саранск,Ялга,ru:Ялга (Мордовия),45.127655,54.127609,316230125
Михайловское,Mikhaylovskoe,RU,Алтайский край,Михайловский район,Михайловское,ru:Михайловское (Алтайский край),79.7193176,51.8212486,316492711
Карабаново,Karabanovo,RU,Владимирская область,Александровский район,Карабаново,ru:Карабаново,38.6981274,56.3084431,317349619
Земетчино,Zemetchino,RU,Пензенская область,Земетчинский район,Земетчино,ru:Земетчино,42.618641,53.4947753,317365509
Шемышейка,Shemysheyka,RU,Пензенская область,Шемышейский район,Шемышейка,ru:Шемышейка,45.392784,52.894306,317365952
Октябрьский,Oktyabrskiy,RU,Московская область,городской округ Люберцы,Октябрьский,ru:Октябрьский (Люберецкий район),37.9743705,55.6086034,317470882
Еткуль,Yetkul,RU,Челябинская область,Еткульский район,Еткуль,ru:Еткуль,61.592037,54.828304,321203443
Менделеевск,Mendeleyevsk,RU,Татарстан,Менделеевский район,Менделеевск,ru:Менделеевск,52.308443,55.8878706,321322750
Судак,Sudak,,,,Судак,uk:Судак (місто),34.971099,44.8488369,321657923
Медведево,,RU,Марий Эл,Медведевский район,Медведево,ru:Медведево (Марий Эл),47.8030237,56.6332426,324648017
Николаевск-на-Амуре,Nikolayevsk-on-Amur,,,,Николаевск-на-Амуре,ru:Николаевск-на-Амуре,140.72493,53.138729,330401916
Бабаево,Babayevo,RU,Вологодская область,Бабаевский район,Бабаево,ru:Бабаево,35.940425,59.3969942,330402488
Новый Ургал,Novy Urgal,RU,Хабаровский край,Верхнебуреинский район,Новый Ургал,ru:Новый Ургал,132.605484,51.071144,330421322
Харп,Kharp,RU,Ямало-Ненецкий автономный округ,муниципальный округ Приуральский район,Харп,ru:Харп (посёлок городского типа),65.8009163,66.815163,330810024
Переяславка,Pereyaslavka,RU,Хабаровский край,район имени Лазо,Переяславка,ru:Переяславка,135.054947,47.968636,330823587
Хор,Khor,RU,Хабаровский край,район имени Лазо,Хор,ru:Хор (Хабаровский край),134.960938,47.882572,330823637
Сосногорск,Sosnogorsk,RU,,район Сосногорск,Сосногорск,ru:Сосногорск,53.9305546,63.5895298,330842003
Барда,Barda,RU,Пермский край,Бардымский муниципальный округ,Барда,ru:Барда (Пермский край),55.586967,56.930187,331180517
Алнаши,Alnashi,RU,Удмуртия,,Алнаши,ru:Алнаши,52.4755309,56.1848812,331569994
Ильинско-Подомское,Il'insko-Podomskoe,RU,Архангельская область,Вилегодский муниципальный округ,Ильинско-Подомское,ru:Ильинско-Подомское,47.97831,61.115704,331769948
Корткерос,,,,,Корткерос,ru:Корткерос,51.5744647,61.8130799,331793608
Богородицк,Bogoroditsk,RU,Тульская область,Богородицкий район,Богородицк,ru:Богородицк,38.126965,53.773571,332349574
Ефремов,Yefremov,RU,Тульская область,,Ефремов,ru:Ефремов (город),38.116188,53.141834,332350145
Задонск,Zadonsk,RU,Липецкая область,Задонский район,Задонск,ru:Задонск,38.92672,52.387798,332353039
Миллерово,Millerovo,RU,Ростовская область,Миллеровский район,Миллерово,ru:Миллерово,40.391854,48.9196264,332370326
Тарасовский,Tarasovsky,RU,Ростовская область,Тарасовский район,Тарасовский,ru:Тарасовский,40.3644632,48.7259206,332371008
Глубокий,Glubokiy,RU,Ростовская область,Каменский район,Глубокий,ru:Глубокий (Каменский район),40.3261435,48.5245462,332371503
Каменск-Шахтинский,Kamensk-Shakhtinsky,RU,Ростовская область,,Каменск-Шахтинский,ru:Каменск-Шахтинский,40.2650679,48.3210807,332371954
Елатьма,Elat'ma,RU,Рязанская область,Касимовский район,Елатьма,ru:Елатьма,41.752693,54.96917,333892426
Пронск,Pronsk,RU,Рязанская область,Пронский район,Пронск,ru:Пронск,39.605293,54.121353,333892499
Лесной,Lesnoy,RU,Рязанская область,Шиловский район,Лесной,ru:Лесной (Рязанская область),40.466309,54.212547,333892507
Шацк,Shatsk,RU,Рязанская область,Шацкий район,Шацк,ru:Шацк (город),41.712601,54.028687,333892554
Новомичуринск,Novomichurinsk,RU,Рязанская область,Пронский район,Новомичуринск,ru:Новомичуринск,39.744011,54.043011,333892561
Кораблино,Korablino,RU,Рязанская область,Кораблинский район,Кораблино,ru:Кораблино,40.019211,53.92099,333892583
Кизильское,Kizil'skoye,RU,Челябинская область,Кизильский район,Кизильское,ru:Кизильское,58.893696,52.72554,334357259
Баймак,Baymak,RU,Башкортостан,Баймакский район,Баймак,ru:Баймак,58.30756,52.597919,334357268
Октябрьское,Oktyabrskoye,RU,Оренбургская область,Октябрьский район,Октябрьское,ru:Октябрьское (Октябрьский район),55.507576,52.345226,334357270
Зилаир,Zilair,RU,Башкортостан,Зилаирский район,Зилаир,ru:Зилаир,57.441547,52.233707,334357276
Саракташ,Saraktash,RU,Оренбургская область,Саракташский район,Саракташ,ru:Саракташ,56.358513,51.787224,334357300
Адамовка,Adamovka,RU,Оренбургская область,Адамовский район,Адамовка,ru:Адамовка (Адамовский район),59.940235,51.520966,334357302
Гай,Gay,RU,Оренбургская область,Гайский городской округ,Гай,ru:Гай (город),58.440517,51.471443,334357309
Бреды,Bredy,RU,Челябинская область,Брединский район,Бреды,ru:Бреды,60.3372556,52.4223974,334357327
Акбулак,Akbulak,RU,Оренбургская область,Акбулакский район,Акбулак,ru:Акбулак,55.62648,51.006439,334357334
Учалы,Uchaly,RU,Башкортостан,,Учалы,ru:Учалы,59.384636,54.316597,334371735
Межозёрный,Mezhozyorny,RU,Челябинская область,Верхнеуральский район,Межозёрный,ru:Межозёрный (Челябинская область),59.374542,54.148026,334371739
Толбазы,Tolbazy,RU,Башкортостан,Аургазинский район,Толбазы,ru:Толбазы,55.886463,54.010342,334371755
Красноусольский,Krasnousolskij,RU,Башкортостан,Гафурийский район,Красноусольский,ru:Красноусольский,56.4705604,53.8961616,334371762
Верхнеуральск,Verkhneural'sk,RU,Челябинская область,Верхнеуральский район,Верхнеуральск,ru:Верхнеуральск,59.21138,53.878002,334371765
Фершампенуаз,Fershampenuaz,RU,Челябинская область,Нагайбакский район,Фершампенуаз,ru:Фершампенуаз (Челябинская область),59.8112001,53.5214103,334371776
Ишимбай,Ishimbay,RU,Башкортостан,Ишимбайский район,Ишимбай,ru:Ишимбай,56.0439119,53.4546454,334371777
Агаповка,Agapovka,RU,Челябинская область,Агаповский район,Агаповка,ru:Агаповка,59.134914,53.296947,334371783
Пласт,Plast,RU,Челябинская область,Пластовский район,Пласт,ru:Пласт (город),60.807091,54.369812,334371785
Чесма,Chesma,RU,Челябинская область,Чесменский район,Чесма,ru:Чесма (село),60.6532186,53.8131555,334371787
Уйское,Uyskoe,RU,Челябинская область,Уйский район,Уйское,ru:Уйское (Челябинская область),60.005447,54.373421,334371788
Карталы,Kartaly,RU,Челябинская область,Карталинский район,Карталы,ru:Карталы,60.639172,53.053261,334371795
Скопин,Skopin,RU,Рязанская область,,Скопин,ru:Скопин,39.549274,53.823524,334723403
Сараи,Sarai,RU,Рязанская область,Сараевский район,Сараи,ru:Сараи (Рязанская область),40.9967135,53.7212373,334723420
Милославское,Miloslavskoye,RU,Рязанская область,Милославский район,Милославское,ru:Милославское (Рязанская область),39.445062,53.579839,334723480
Староюрьево,Staroyuryevo,RU,Тамбовская область,Староюрьевский район,Староюрьево,ru:Староюрьево,40.6992188,53.3227111,334723506
Первомайский,Pervomayskiy,RU,Тамбовская область,Первомайский район,Первомайский,ru:Первомайский (Первомайский район; Тамбовская область),40.285099,53.244999,334723508
Чаплыгин,Chaplygin,RU,Липецкая область,Чаплыгинский район,Чаплыгин,ru:Чаплыгин (город),39.966801,53.243015,334723509
Данков,Dankov,RU,Липецкая область,Данковский район,Данков,ru:Данков,39.1591798,53.2533095,334723512
Сосновка,Sosnovka,RU,Тамбовская область,,Сосновка,ru:Сосновка (Тамбовская область),41.369202,53.232201,334723518
Лев Толстой,Lev Tolstoy,RU,Липецкая область,Лев-Толстовский район,Лев Толстой,ru:Лев Толстой (Липецкая область),39.4477568,53.212541,334723521
Мичуринск,Michurinsk,,Тамбовская область,,Мичуринск,ru:Мичуринск,40.5071721,52.8946613,334723558
Дмитриевка,,RU,Тамбовская область,Никифоровский район,Дмитриевка,ru:Дмитриевка (Тамбовская область),40.780201,52.892799,334723570
Доброе,Dobroye,RU,Липецкая область,Добровский район,Доброе,ru:Доброе (Липецкая область),39.8102066,52.8613369,334723573
Игарка,Igarka,RU,Красноярский край,Туруханский район,Игарка,ru:Игарка,86.5308425,67.4566185,335884516
Печора,Pechora,RU,,район Печора,Печора,ru:Печора (город),57.1616254,65.1155035,335978319
Водный,Vodny,RU,,,Водный,ru:Водный (Коми),53.408073,63.505032,335978335
Ярега,Yarega,RU,,,Ярега,ru:Ярега,53.576294,63.433319,335978346
Троицко-Печорск,Troitsko-Pechorsk,RU,,Троицко-Печорский район,Троицко-Печорск,ru:Троицко-Печорск,56.185379,62.714462,335978361
Емва,Yemva,RU,,Княжпогостский район,Емва,ru:Емва,50.887928,62.598297,335978390
Микунь,Mikun',RU,,Усть-Вымский район,Микунь,ru:Микунь,50.08218,62.358238,335978395
Верхняя Тойма,Verkhnyaya Toyma,RU,Архангельская область,Верхнетоемский муниципальный округ,Верхняя Тойма,ru:Верхняя Тойма,45.0007897,62.2353641,335978419
,,,,,Выльгорт,ru:Выльгорт,50.768478,61.627003,335978447
Красноборск,Krasnoborsk,RU,Архангельская область,Красноборский район,Красноборск,ru:Красноборск (Архангельская область),45.934135,61.556374,335978456
Вычегодский,Vychegodskiy,RU,Архангельская область,городской округ Котлас,Вычегодский,ru:Вычегодский,46.883759,61.248669,335978471
Коряжма,Koryazhma,RU,Архангельская область,городской округ Коряжма,Коряжма,ru:Коряжма,47.1607626,61.3151659,335978473
Сольвычегодск,Sol'vychegodsk,RU,Архангельская область,Котласский район,Сольвычегодск,ru:Сольвычегодск,46.918938,61.331333,335978476
Луза,Luza,RU,Кировская область,Лузский муниципальный округ,Луза,ru:Луза (город),47.2552897,60.6304027,335978498
Великий Устюг,Velikiy Ustyug,RU,Вологодская область,Великоустюгский район,Великий Устюг,ru:Великий Устюг,46.3014666,60.7612852,335978507
Красавино,Krasavino,RU,Вологодская область,Великоустюгский район,Красавино,ru:Красавино,46.4778243,60.9617195,335978516
Коноша,Konosha,RU,Архангельская область,Коношский район,Коноша,ru:Коноша,40.25671,60.973812,335978520
Чердынь,Cherdyn,RU,Пермский край,Чердынский городской округ,Чердынь,ru:Чердынь,56.4752752,60.4046807,335978540
Койгородок,Koygorodok,RU,,Койгородский район,Койгородок,ru:Койгородок,51.007,60.441257,335978558
Североуральск,Severouralsk,RU,Свердловская область,Североуральский городской округ,Североуральск,ru:Североуральск,59.960517,60.15016,335978564
Подосиновец,Podosinovets,RU,Кировская область,Подосиновский район,Подосиновец,ru:Подосиновец,47.06477,60.279064,335978567
Пинюг,Pinyug,RU,Кировская область,Подосиновский район,Пинюг,ru:Пинюг,47.785713,60.25053,335978568
Комсомольский,Komsomolskiy,RU,Коми,городской округ Воркута,Комсомольский,ru:Комсомольский (Коми),63.775955,67.553696,335978573
Воргашор,Vorgashor,RU,,,Воргашор,en:Vorgashor,63.783737,67.581192,335978588
Пионерский,Pionerskiy,RU,,Советский район,Пионерский,ru:Пионерский (Ханты-Мансийский автономный округ),62.8577766,61.1987694,335978595
Инта,Inta,RU,,,Инта,ru:Инта,60.13158,66.039749,335978609
Мегион,Megion,,,,Мегион,ru:Мегион,76.108215,61.035404,335978623
Октябрьское,Oktyabr'skoe,,,Октябрьский район,Октябрьское,ru:Октябрьское (Ханты-Мансийский автономный округ),66.045067,62.459541,335978637
Верхневилюйск,Verkhnevilyuysk,RU,Республика Саха (Якутия),Верхневилюйский улус,Верхневилюйск,ru:Верхневилюйск,120.3146678,63.4497609,335978670
Харовск,Kharovsk,RU,Вологодская область,Харовский район,Харовск,ru:Харовск,40.2068249,59.9533237,335978687
Сангар,Sangar,RU,Республика Саха (Якутия),Кобяйский улус,Сангар,ru:Сангар,127.466759,63.923618,335978691
Солигалич,Soligalish,,Костромская область,,Солигалич,ru:Солигалич,42.2861828,59.0777693,335978725
,,RU,Кировская область,,Лесной,ru:Лесной (Кировская область),52.129436,59.781719,335978729
Коса,Kosa,RU,Пермский край,Косинский муниципальный округ,Коса,ru:Коса (Косинский район),54.989826,59.944386,335978731
Никольск,Nikolsk,RU,Вологодская область,Никольский район,Никольск,ru:Никольск (Вологодская область),45.4585029,59.5304186,335978750
Нагорск,Nagorsk,RU,Кировская область,Нагорский район,Нагорск,ru:Нагорск,50.8017309,59.3159141,335978754
Кондинское,Kondinskoye,,,Кондинский район,Кондинское,ru:Кондинское (Ханты-Мансийский автономный округ),67.411819,59.651791,335978756
Мураши,Murashi,RU,Кировская область,Мурашинский муниципальный округ,Мураши,ru:Мураши,48.9644445,59.3951018,335978758
Междуреченский,Mezhdurechenskiy,,,Кондинский район,Междуреченский,ru:Междуреченский (Ханты-Мансийский автономный округ),65.908333,59.592403,335978760
Луговой,Lugovoy,,,Кондинский район,Луговой,ru:Луговой (Ханты-Мансийский автономный округ),65.8847745,59.7210166,335978771
Опарино,Oparino,RU,Кировская область,Опаринский муниципальный округ,Опарино,ru:Опарино,48.280041,59.84819,335978775
Юрла,Yurla,RU,Пермский край,Юрлинский муниципальный округ,Юрла,ru:Юрла,54.3246555,59.3286875,335978802
Гари,Gari,RU,Свердловская область,Гаринский городской округ,Гари,ru:Гари (Свердловская область),62.35247,59.427441,335978823
Юрья,Yurya,RU,Кировская область,Юрьянский район,Юрья,ru:Юрья,49.2802628,59.0422074,335978841
Сосьва,Sosva,RU,Свердловская область,Сосьвинский городской округ,Сосьва,ru:Сосьва (Сосьвинский городской округ),61.861935,59.173889,335978853
Красная Заря,Krasnaya Zarya,RU,Орловская область,Краснозоренский район,Красная Заря,ru:Красная Заря (Краснозоренский район),37.690243,52.780712,336140167
Рассказово,Rasskazovo,RU,Тамбовская область,,Рассказово,ru:Рассказово,41.879002,52.658699,336140198
Змиёвка,Zmiyevka,RU,Орловская область,Свердловский район,Змиёвка,ru:Змиёвка,36.380112,52.672192,336140200
Петровское,Petrovskoye,RU,Тамбовская область,,Петровское,ru:Петровское (Петровский район; Тамбовская область),40.2603,52.633202,336140217
Котовск,Kotovsk,RU,Тамбовская область,,Котовск,ru:Котовск (Тамбовская область),41.4994249,52.5870419,336140240
Локоть,Lokot,RU,Брянская область,Брасовский район,Локоть,ru:Локоть (Брянская область),34.5716674,52.572232,336140248
Дмитровск,Dmitrovsk-Orlovskiy,RU,Орловская область,Дмитровский район,Дмитровск,ru:Дмитровск,35.145725,52.509418,336140258
Тамала,Tamala,RU,Пензенская область,Тамалинский район,Тамала,ru:Тамала (Пензенская область),43.255024,52.539822,336140265
Грязи,Gryazi,RU,Липецкая область,Грязинский район,Грязи,ru:Грязи,39.955162,52.49612,336140276
Ливны,Livny,RU,Орловская область,городской округ Ливны,Ливны,ru:Ливны,37.6089,52.4253859,336140287
Сердобск,Serdobsk,,,,Сердобск,ru:Сердобск,44.213924,52.461506,336140289
Беково,Bekovo,RU,Пензенская область,Бековский район,Беково,ru:Беково (Пензенская область),43.7039446,52.4581207,336140293
Тросна,Trosna,RU,Орловская область,Троснянский район,Тросна,ru:Тросна (Орловская область),35.780979,52.448105,336140301
Малоархангельск,Maloarkhangelsk,RU,Орловская область,Малоархангельский район,Малоархангельск,ru:Малоархангельск (Орловская область),36.504021,52.399578,336140305
Комаричи,Komarichi,RU,Брянская область,Комаричский район,Комаричи,ru:Комаричи,34.788486,52.416153,336140311
Поныри,Ponyri,RU,Курская область,Поныровский район,Поныри,ru:Поныри,36.3020868,52.3192156,336140317
Инжавино,Inzhavino,RU,Тамбовская область,Инжавинский район,Инжавино,ru:Инжавино,42.498001,52.327301,336140318
Долгоруково,Dolgorukovo,RU,Липецкая область,Долгоруковский район,Долгоруково,ru:Долгоруково (Липецкая область),38.3495961,52.3243879,336140320
Ртищево,Rtishchevo,RU,,,Ртищево,ru:Ртищево,43.7877429,52.2599057,336140336
Колпна,Kolpna,RU,Орловская область,Колпнянский район,Колпна,ru:Колпна,37.028606,52.222736,336140362
Золотухино,Zolotukhino,RU,Курская область,Золотухинский район,Золотухино,ru:Золотухино (Курская область),36.3799043,52.0847664,336140367
Дмитриев,Dmitriyev,RU,Курская область,Дмитриевский район,Дмитриев,ru:Дмитриев (город),35.075439,52.12849,336140369
Тербуны,Terbuny,RU,Липецкая область,Тербунский район,Тербуны,ru:Тербуны,38.278389,52.146828,336140371
Усмань,Usman,RU,Липецкая область,Усманский район,Усмань,ru:Усмань,39.7399996,52.0506929,336140373
Добринка,Dobrinka,RU,Липецкая область,Добринский район,Добринка,ru:Добринка (Липецкая область),40.4772102,52.1658357,336140376
Долгое,Dolgoye,,Орловская область,,Долгое,ru:Долгое (Должанский район),37.5295749,52.0552637,336140383
Ржакса,Rzhaksa,RU,Тамбовская область,Ржаксинский район,Ржакса,ru:Ржакса,42.027302,52.135201,336140385
Уварово,Uvarovo,RU,Тамбовская область,,Уварово,ru:Уварово,42.258396,51.989845,336140398
Токарёвка,Tokarevka,RU,Тамбовская область,Токарёвский район,Токарёвка,ru:Токарёвка (Тамбовская область),41.1618,51.9939,336140399
Аркадак,Arkadak,RU,Саратовская область,Аркадакский район,Аркадак,ru:Аркадак,43.489098,51.942913,336140412
Кшенский,Kshenskiy,RU,Курская область,Советский район,Кшенский,ru:Кшенский,37.72422,51.84898,336140440
Мучкапский,Muchkapskiy,RU,Тамбовская область,Мучкапский район,Мучкапский,ru:Мучкапский,42.482399,51.8507,336140441
Жердевка,Zherdevka,RU,Тамбовская область,Жердевский район,Жердевка,ru:Жердевка,41.470367,51.843933,336140447
Щигры,Shchigry,RU,Курская область,городской округ Щигры,Щигры,ru:Щигры,36.9131896,51.870821,336140448
Эртиль,Ertil,RU,Воронежская область,Эртильский район,Эртиль,ru:Эртиль (город),40.7982804,51.8367188,336140450
Черемисиново,Cheremisinovo,RU,Курская область,Черемисиновский район,Черемисиново,ru:Черемисиново,37.2624053,51.8876751,336140452
Конышёвка,Konyshevka,RU,Курская область,Конышёвский район,Конышёвка,ru:Конышёвка,35.292969,51.846329,336140471
Верхняя Хава,Verkhnyaya Khava,RU,Воронежская область,Верхнехавский район,Верхняя Хава,ru:Верхняя Хава,39.9334627,51.8439568,336140474
Льгов,L'gov,,,,Льгов,ru:Льгов,35.2839999,51.6906587,336140489
Терновка,Ternovka,RU,Воронежская область,Терновский район,Терновка,ru:Терновка (Терновский район),41.590942,51.684982,336140500
Романовка,Romanovka,RU,Саратовская область,Романовский район,Романовка,ru:Романовка (Саратовская область),42.7557244,51.7410278,336140509
Нижнедевицк,Nizhnedevitsk,RU,Воронежская область,Нижнедевицкий район,Нижнедевицк,ru:Нижнедевицк (село),38.3638,51.5459,336140521
Рыльск,Rylsk,RU,Курская область,Рыльский район,Рыльск,ru:Рыльск,34.683506,51.570538,336140540
Латная,Latnaya,RU,Воронежская область,Семилукский район,Латная,ru:Латная,38.9011124,51.6568603,336140544
Посёлок имени Карла Либкнехта,Imeni Karla Libknekhta,RU,Курская область,Курчатовский район,Посёлок имени Карла Либкнехта,ru:Посёлок имени Карла Либкнехта,35.477493,51.623196,336140547
Тим,Tim,RU,Курская область,Тимский район,Тим,ru:Тим (Курская область),37.122578,51.621746,336140550
Панино,Panino,RU,Воронежская область,Панинский район,Панино,ru:Панино (Воронежская область),40.134346,51.648148,336140564
Балашов,Balashov,RU,Саратовская область,,Балашов,ru:Балашов (город),43.1717621,51.537084,336140569
Хохол,Khokhol,,Воронежская область,,Хохол,,38.7569796,51.5624502,336140573
Калининск,Kalininsk,RU,Саратовская область,Калининский район,Калининск,ru:Калининск,44.484581,51.499947,336140607
Горшечное,Gorshechnoye,RU,Курская область,Горшеченский район,Горшечное,ru:Горшечное,38.034916,51.521561,336140608
Солнцево,Solintsevo,RU,Курская область,Солнцевский район,Солнцево,ru:Солнцево (Курская область),36.749901,51.419552,336140636
Медвенка,Medvenka,RU,Курская область,Медвенский район,Медвенка,ru:Медвенка,36.118046,51.417706,336140669
Коренево,Korenevo,RU,Курская область,Кореневский район,Коренево,ru:Коренево,34.897091,51.414234,336140670
Глушково,Glushkovo,RU,Курская область,Глушковский район,Глушково,ru:Глушково (Курская область),34.6373099,51.3391315,336140693
Обоянь,Oboyan',RU,Курская область,Обоянский район,Обоянь,ru:Обоянь,36.276245,51.211079,336140698
Пристень,Pristen,RU,Курская область,Пристенский район,Пристень,ru:Пристень,36.6941094,51.236023,336140701
Линёво,Linevo,RU,Волгоградская область,Жирновский район,Линёво,ru:Линёво (Волгоградская область),44.822498,50.882702,336140727
Новохопёрск,Novokhopersk,RU,Воронежская область,Новохопёрский район,Новохопёрск,ru:Новохопёрск,41.616955,51.095146,336140733
Бобров,Bobrov,RU,Воронежская область,Бобровский район,Бобров,ru:Бобров (город),40.0307798,51.0967999,336140738
Таловая,Talovaya,RU,Воронежская область,Таловский район,Таловая,ru:Таловая (Таловский район),40.728123,51.11541,336140739
